Seasons,Parts,Period
Vansantha Rithu,Madhu,March 21st to April 21st
"",Madhava,April 21st to May 21st
Greehma Ruthu,Sukra,May 21st to June 21st
"",Suchi,June 21st to July 21st
Varsha Ruthu,Nabhas,July 21st to August 21st
"",Nabhasya,August 21st to September 21st
Shard Ruthu,Lisa,September 21st to October 21st
"",Urija,October 21st to November 21st
Hemantha Ruthu,Sahas,November 21st to December 21st
"",Sahasya,December 21st to January 21st
Sisira Ruthu,Tapas,January 21st to February 21st
"",Tapasya,February 21st to March 21st
