# details of registered cooperatives upto 2069 BS,,,,,,
year,nature,number_of_cooperatives,management_female,management_male,member_female,member_male
2069,Saving and credit,11851,25373,75532,1029424,929448
2069,Multipurpose,4136,10053,25597,544565,1316382
2069,Agriculture,5373,11770,33741,200793,211790
2069,Dairy,1749,3708,11769,28303,74505
2069,Consumer,1416,3959,8127,40307,31625
2069,Electricity,406,782,2858,12005,48636
2069,Vegetable and fruits,196,447,1314,17717,13279
2069,Tea,97,228,627,1347,3908
2069,Coffee,80,230,489,1704,2313
2069,Medicinal herbs,144,481,968,1530,3189
2069,Apiary,65,164,423,1546,2214
2069,Communication,102,257,665,3980,8579
2069,Health,85,177,583,4256,4652
2069,Sugarcane,48,94,334,287,979
2069,Sweet orange,31,55,223,304,700
2069,Other,722,1863,4596,46483,57653
2074,Saving and credit,13578,,,,
2074,Multipurpose,4371,,,,
2074,Agriculture,10921,,,,
2074,Dairy,1658,,,,
2074,Consumer,1423,,,,
2074,Electricity,463,,,,
2074,Vegetable and fruits,193,,,,
2074,Tea,108,,,,
2074,Medicinal herbs,186,,,,
2074,Apiary,93,,,,
2074,Communication,143,,,,
2074,Health,128,,,,
2074,Sugarcane,48,,,,
2074,Sweet orange,45,,,,
2074,Coffee,155,,,,
2074,Other,999,,,,
