# Hydropower stations under construction,,,,
"# Source: Bidhyut Magazine/Semi- Annual Report - NEA, Bhadra 2063; NEA Annual Report 2073 B.S.",,,,
Hydropower station,Location,Capacity (MW),Date of completion,Owner
Arun III,Sankhuwasabha,900,2022,Satluj Jal Vidyut Nigam (SJVN)
Upper Tamakoshi Project,Dolakha,456,2019 (November),Nepal Electricity Authority (NEA)
Rasuwagadi,Rasuwa,111,2020 (February),Chilime Hydropower Company Ltd.
Middle Bhotekoshi,Sindhupalchowk,102,2019 (June),Middle Bhotekoahi Jalbidhyut Company
Lower Solu,Solukhumbu,82,,Essel Clean Solu Pvt. Ltd.
Upper Marsyangdi A,Lamjung,50,,Sinohydro-Sagarmatha Power Company Pvt. Ltd.
Lower Sanjen,Rasuwa,42.5,,Sanjen Hydropower Company Ltd.
Kabeli B1,,25,,Arun Kabeli power limited(AKPL)
Lower Hewa Khola,,21.6,,Nepal Electricity Authority (NEA)
Lower Modi,Parbat,20,,Nepal Electricity Authority (NEA)
Upper Sanjen,Rasuwa,14.8,,Sanjen Hydropower Company Ltd.
Iwa Khola,,9.9,,Nepal Electricity Authority (NEA)
Rudi Khola A,,8.8,,Nepal Electricity Authority (NEA)
Upper Naugad Gad,,8,,Nepal Electricity Authority (NEA)
Theule Khola,,1.5,,Nepal Electricity Authority (NEA)
Bheri Babai Diversion Multipurpose Project,Surkhet,46,,"Govt. of Nepal, Department of Irrigation"
Mistri Khola,Myagdi,42,,Robust Energy Pvt. Ltd.
Khani Khola (Dolakha),Dolakha,30,,Sasa Engineering Hydropower Pvt. Ltd.
Khani Khola I,Dolakha,25,,Greenlife Energy Pvt.Ltd.
Middle Tamor,,73,,Sanima Hydropower
Kulekhani III,,14,,
Gamgadhi,,0.4,,
Tallo Khare khola Hydropower project I,Dolakha,11,,Universal power company Ltd.
