sn,indicators,Status_2074/75,Goal_2081/82
1,"Contribution of agriculture, forest and mine sector to gross domestic product (percent)",27.6,23
2,Agriculture sector productivity (mt/ha),2.97,4
3,Productivity of rice (mt/ha),3.5,4.5
4,Productivity of maize (mt/ha),2.7,4
5,Productivity of wheat (mt/ha),2.8,3.5
6,Productivity of fisheries (mt/ha),4.9,6
7,Dairy productivity (ltr/lactating cattle),1012,1487
8,Meat (per slaughtered animal),72,92
9,Egg (per bird),240,260
10,Vegetable productivity (mt/ha),14,20
11,Potato productivity (mt/ha),16,22
12,Fruit productivity (mt/ha),8.9,12
