# insects and management,,,,,,,,,,
Group,Generic name,Trade name,Effective against,Mode of action,LD-50,Hazard category,Formulation,Waiting period,Application dose,Remark
Organophosphate,Acephate,"Dhanraj 75% SP, Fetal 75% SP, Yash 75% SP, Altop 75% SP","Cotton Leaf hopper (Amrasca biguttula biguttula), Cotton Fruit borer (Pectinophora gossyiella, Earias vitella), Cotton Aphid (Aphis gossypii), Rice Borer (Scripophaga incertulas, S. innotata, Chilo partellus, C. suppressalis, Sesamia inferens), Rice Leaf roller (Cnaphalocrosis medinalis), Rice Brown plant hopper (Recilia dorsalis, Nilaparvata lugens, Sogatella furcifera), Rice Green plant hopper (Nephotettix nigropictus, N. virensence)",Contact and systemic,945,II,SP,15,1.2-2.5 (212 g a.i.); 0.6-1.2 (584 g a.i.),
Organophosphate,Chlorpyriphos,"Dermet 20% EC, Deviban 20% EC, Dhanushban 20% EC","Barley and wheat Termite (Microtermes obesi, Odontotermes obesus), Wheat Stem hopper (Nilaparvata lugens), Rice Shoot maggot (Hydrelia spp.), Rice Borers, Rice Beetle (Dicladispa armigera), Rice Leaf roller, Rice Pod and fruit boring larvae (Helicoverpa armigera, Lampides boeticus, Maruca vitrata), Chickpea Cutworm (Agrotis ipsilon), Chickpea Termites, Moongbean Caterpillar (Spilarctia obligua, S. casitgneta), Groundnut Aphid (Aphis craccivora), Sugarcane Bettle (Holotricha consanguinea), Sugarcane Black bug (Caveleurus excavates), Sugarcane Early shoot borer (Chilo infuscatellus), Sugarcane Stalk borer (Chilo auricilius), Sugarcane Pyrilla (Pyrilla perpusilla), Sugarcane Termites, Cotton Aphid, Cotton White fly, Cotton Hopper, Cotton Weevil (Myllabris undecimpustulijtus), Cotton Fruit borer (Earis vittella, E. insulana, Pectinophora gossypiella, Helicoverpa armigera), Cotton Cutworm, Mustard Aphid (Lipaphis erysimi), Brinjal Fruit and shoot borer (Leucinodes orbonalis), Cauliflower Diamond back moth (Plutella xylostella), Onion Root eating insect, Potato Spotted beetles (Epilachna vigintioctopunctata), Potato Leaf eating larvae (Spodoptera litura, Thysanoplusia orichalcea), Citrus Black aphid (Toxoptera aurantii), Rice NA (Orseolia oryzae)",Contact,135,II,EC,30,10-20 (1000 g a.i.); 1.25-2.5 (250 g a.i.),Also available in 1.5% DP and 4% granules formulation
Organophosphate,Dimethoate,"Roger 30% EC, Ki-roger 30% EC, Terra 9093 30% EC","Maize (Chilo partellus), Sorghum (Contarinia sorghicola), Pigeonpea (Helicoverpa armigera, Lampides boeticus, Marruca vitrat, Melanogromyza obtusa), Cotton (Aphis gossypii, Amrasca biguttula biguttula, Thrips tabaci, Myllabris undecimpustuljtus), Castor (Empoasca flavescens, E. devastans, E. notata, E. kerri, E. parathea, Olygonychus coffeae, Achaea janata), Groundnut (Stomapteryx subsecivella), Mustard (Lipaphis erysimi, Athalia lugens proxima), Sunflower (Aphis crassivora), Okra (Aphis gossypii, Amrasca biguttula biguttula), Brinjal (Amrasca biguttula biguttula, Luecinodes orbonalis), Cauliflower/cabbage Aphid, Cauliflower/cabbage Painted bug (Bagrada cruciferarum), Mustard Aphid, Potato Aphid, Onion Thrips, Tomato White fly, Apple Stem borer (Zeuzera spp.), Banana Aphid (Pentalonia nigronervosa), Banana Lacewing bug (Stephanitis typicus), Citrus Black bug (Toxoptera aurantii), Mango Mealy bug (Drosicha mangiferae, Rastrococcus iceryoides), Mango Hopper (Amaritodus atkinsoni, Idioscopus clypealis, I. Neveosparsus)",Systemic,115,II,EC,15,1.2-1.6 (200 g a.i.); 1.5-1.32 (250 g a.i.),
Organophosphate,Ethion,"Phos-mite 50% EC, Al-mite 50% EC","Coffee Thrips (Scritothrips dorsalis, Haplothrips andresi, H. tenuipennis), Coffee Mites (Oligonychus coffeae), Coffee Aphid (Toxoptera aurantii), Coffee Leaf eating larvae (Andraca spp.), Coffee Helopetis (Helopetis spp.), Citrus Leaf eating insect (Throscrhiza citrii)",Contact,208,II,EC,14,5-10 ml (250 g a.i),
Organophosphate,Malathion,"Cycothion 50%, Ki-thion 50%, Green mala 50% EC","Rice Beetle, Sorghum Midge (Contarinia sorghicola), Pea Pod borer (Lampides boeicus), Soybean Leaf eating weevil (Mylloceus viridanus, M. discolor, M. maculosus, Episomus lacerta, Alcidodes pictus), Cotton Aphid, Cotton Hopper, Cotton Thrips, Cotton White fly, Castor Hopper (Empoasca flavescens, E. devastans, E. notate, E. kerri, E. parathea), Groundnut Semi-looper (Arachea janata), Groundnut Leaf eating insect (Stomopteryx subsecivella), Mustard Sawfly (Athalia lugens proxima), Mustard Aphid (Lipaphis erysimi, Brevicoryne brassicae), Sunflower white fly (Bemisia tabaci), Okra Aphid, Okra Fruit borer, Cabbage Aphid, Cauliflower Diamond back moth, Turnip Tobaccoo hairy caterpillar, Tomato White fly, Apple Scale insect (Quadraspidiotus perniciosus), Apple Wooly aphid (Eriosoma lanigerum), Pea Lacewing bug (Stephanitis typicus)",Contact,2100,III,"EC, DP",14,"1.15-2.3 (575 g a.i.); 2-4 (1000 g a.i.); In Dustable powder formulation, application rate is 1.25 kg per ropani (1250 g a.i.)",
Organophosphate,Quinalphos,"Su-queen 25% EC, Hitalux 25% EC, Nagin 25% EC","Rice Borer, Rice Brown plant hopper, Rice Gall midge, Rice Leaf roller, Rice Beetle, Cotton Aphid, Cotton White fly, Cotton Fruit borer, Pigeon pea Pod borer (Heliothis armigera), Pigeon pea Pod maggot (Melanagromyza obtusa), Sugarcane Pyrilla, Groundnut Hopper, Okra Cotton hopper, Okra Fruit borer, Brinjal Hopper",Contact and systemic,62,II,EC,40,1.5-3 (375 g a.i.); 1-2 (250 g a.i.),
Organophosphate,Triazophos,"Josh 40% EC, Ki-tiger 40% EC, Turbo 40% EC",,Contact and systemic,82,IB,EC,21,2-3 (600-800 g a.i),
Organophosphate,Dichlorovos,"Doom 76% EC, Agrichlor 76% EC, D-vap 76% EC, Danish 76% EC",,Contact,56,IB,EC,3-5,0.75-0.375 (375 g a.i.); 5-10 (500 g a.i),
Carbamates,Carbofuran,"Alcarb 3% GR and CG, Carbomine 3% GR, Sumo 3% GR",,Systemic,8,IB,"GR, CG",30-60,2.5 g/ropani (1.5 kg a.i.); 1.52 kg/ropani (1.0 kg a.i.),
Carbamates,Carbosulfan,Marshall 25% EC,,Systemic,250,II,EC,14,1-1.6 ml/ltr (200-250 g a.i.),
Carbamates,Carbaryl,Sevin 50% WP,,Systemic,850,III,WP,40,2-4 g/liter (1000 g a.i.),
Carbamates,Thiodicarb,Larvin 75% WP,,Internal and Contact,66,II,WP,7,2-2.66 (750-1000 g a.i.),
Synthetic pyrethriods,"Alphamethrin, Alpha-cypermethrin","Farsa 10% EC, Guru 10% EC, Viper 10% EC, Thrill 10% EC",,Contact and systemic,,II,EC,7,3.57-3.63 g/liter (15-25 g a.i.),
Synthetic pyrethriods,Cypermethrin,"Cyprin 10% EC, Ripcord 10% EC, Kriship 10% EC, Challenger 10% EC",,Contact and systemic,250,II,EC,7-14,1.3-3.6 ml/liter (50-70 g a.i.); 1-1.3 ml/liter (60 g a.i.),
Synthetic pyrethriods,Deltamethrin,"Decis 2.8% EC, All-del 2.5% EC, Express 2.8% EC",,Contact,135,II,EC,7,0.8-1.6 ml/liter (10 g a.i.); 0.25 ml/liter (2.5-3.75 g a.i.),
Synthetic pyrethriods,Fenvalerate,"Ki-Fen 20% EC, Molten 20% EC, Suryafen 20% EC",,Contact and systemic,450,II,EC,7,0.55-0.53 ml/liter (75-100 g a.i.),
Other,Abamectin,Vertimic 1.9% EC,,Contact,221,II,EC,,0.26 ml/liter (22.5-45 g a.i.),
Other,Abamectin benzoate,"Proclaim 5% EC, Kemdut 5% EC",,"Internal, Growth regulator",1516,III,"SG, WDP, EC",5-10,0.38-0.44 g/liter (9.5-11 g a.i.),
Other,Aluminium phosphide,"Quickphos 56% Tab, Effort 56% Tab","Storage pests of grains (Sitotroga cerealella, Ephestic cautella, Sitophilus oryzae, Rhizopertha dominica, Trogoderma granarium, Acanthoscelides obtectus)",Fumigant,450,NC,Tablet,,,2-4 tablets of the pesticide is placed on enclosed container of a ton capacity.
Other,Nereistoxin,,,,,,,,,
Pyrethroid,Etofenprox,,,,,,,,,
Other,Fipronil,,,,,,,,,
Neonicotinoid,Imidacloprid,,,,,,,,,
Other,Novaluron,,,,,,,,,
